tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
46,2026-09-05T00:04:31.687,11220,PotPlayerMini64.exe,78.8,194.5,0,0
46,2026-09-05T00:04:31.687,0,__TOTAL__,223.2,387.8,0.49,2
47,2026-09-05T00:04:32.692,26468,wallpaper64.exe,142.3,190.9,0.58,3
47,2026-09-05T00:04:32.692,11220,PotPlayerMini64.exe,78.8,194.5,0.49,0
47,2026-09-05T00:04:32.692,0,__TOTAL__,221.1,385.4,1.07,3
48,2026-09-05T00:04:33.691,26468,wallpaper64.exe,142.3,191.2,0.1,3
48,2026-09-05T00:04:33.691,11220,PotPlayerMini64.exe,78.8,194.5,0.29,0
48,2026-09-05T00:04:33.691,0,__TOTAL__,221.1,385.7,0.39,3
49,2026-09-05T00:04:34.698,26468,wallpaper64.exe,144.5,193.3,0.48,3
49,2026-09-05T00:04:34.698,11220,PotPlayerMini64.exe,78.8,194.5,0,0
49,2026-09-05T00:04:34.698,0,__TOTAL__,223.3,387.8,0.48,3
50,2026-09-05T00:04:35.693,26468,wallpaper64.exe,144.5,193.3,0.29,3
50,2026-09-05T00:04:35.693,11220,PotPlayerMini64.exe,78.8,194.5,0.2,0
50,2026-09-05T00:04:35.693,0,__TOTAL__,223.3,387.8,0.49,3
51,2026-09-05T00:04:36.711,26468,wallpaper64.exe,142.7,191.5,0.19,3
51,2026-09-05T00:04:36.711,11220,PotPlayerMini64.exe,78.8,194.5,0.1,0
51,2026-09-05T00:04:36.711,0,__TOTAL__,221.5,386,0.29,3
52,2026-09-05T00:04:37.706,26468,wallpaper64.exe,142.7,191.5,0,3
52,2026-09-05T00:04:37.706,11220,PotPlayerMini64.exe,78.9,194.5,0.1,0
52,2026-09-05T00:04:37.706,0,__TOTAL__,221.6,386,0.1,3
53,2026-09-05T00:04:38.707,26468,wallpaper64.exe,142.7,191.5,0.29,3
53,2026-09-05T00:04:38.707,11220,PotPlayerMini64.exe,78.9,194.5,0.2,0
53,2026-09-05T00:04:38.707,0,__TOTAL__,221.6,386,0.49,3
54,2026-09-05T00:04:39.710,26468,wallpaper64.exe,143.1,192.4,0.29,3
54,2026-09-05T00:04:39.710,11220,PotPlayerMini64.exe,78.9,194.5,0.29,0
54,2026-09-05T00:04:39.710,0,__TOTAL__,222,386.9,0.58,3
55,2026-09-05T00:04:40.708,26468,wallpaper64.exe,143.1,192.4,0.2,3
55,2026-09-05T00:04:40.708,11220,PotPlayerMini64.exe,78.9,194.5,0.1,0
55,2026-09-05T00:04:40.708,0,__TOTAL__,222,386.9,0.3,3
56,2026-09-05T00:04:41.709,26468,wallpaper64.exe,141.5,190.1,0.68,3
56,2026-09-05T00:04:41.709,11220,PotPlayerMini64.exe,78.9,194.5,0.49,0
56,2026-09-05T00:04:41.709,0,__TOTAL__,220.4,384.6,1.17,3
57,2026-09-05T00:04:42.709,26468,wallpaper64.exe,141.5,190.1,0,3
57,2026-09-05T00:04:42.709,11220,PotPlayerMini64.exe,78.9,194.5,0.1,0
57,2026-09-05T00:04:42.709,0,__TOTAL__,220.4,384.6,0.1,3
58,2026-09-05T00:04:43.709,26468,wallpaper64.exe,143.9,192.5,0.68,3
58,2026-09-05T00:04:43.709,11220,PotPlayerMini64.exe,81.9,211.1,0.49,0
58,2026-09-05T00:04:43.709,0,__TOTAL__,225.8,403.6,1.17,3
59,2026-09-05T00:04:44.716,26468,wallpaper64.exe,143.9,192.5,0.97,3
59,2026-09-05T00:04:44.716,11220,PotPlayerMini64.exe,81.9,211.1,0.1,0
59,2026-09-05T00:04:44.716,0,__TOTAL__,225.8,403.6,1.07,3
60,2026-09-05T00:04:45.706,26468,wallpaper64.exe,143.9,192.5,1.18,3
60,2026-09-05T00:04:45.706,11220,PotPlayerMini64.exe,81.9,211.1,0.59,0
60,2026-09-05T00:04:45.706,0,__TOTAL__,225.8,403.6,1.77,3
